Name,",mse",si_mse,angular,psnr
reinforced_concrete_02_4k.exr,0.13048151,0.12086037,6.566865532868715,18.605866390383035
residential_garden_4k.exr,0.91759413,0.18040682,2.2994454747406676,3.2753994188369626
rhodes_memorial_4k.exr,1.1049664,0.4956836,7.609949664911765,9.768582510528164
river_rocks_4k.exr,0.2654212,0.24913965,5.88971564288615,13.811891412989262
river_walk_2_4k.exr,1.3788388,0.42452103,2.517870932696304,6.341083754148693
rocky_ridge_4k.exr,0.20402843,0.12240871,6.300675701756789,13.733785712051743
rocky_ridge_puresky_4k.exr,0.23903586,0.15459226,4.624655204978464,13.894792440066016
rolling_hills_4k.exr,0.1627392,0.11989762,6.183366933616167,18.640454009864456
roof_garden_4k.exr,1.3072773,0.13528565,0.6845311506574412,3.680512525788306
roofless_ruins_4k.exr,1.1779366,0.34378108,3.329822038563624,6.985960601215121
rooftop_day_4k.exr,0.16846356,0.12524557,8.727283263259766,14.940915963722523
rooftop_night_4k.exr,0.84621686,0.41005754,17.018263298472558,12.209698142724468
rotes_rathaus_4k.exr,0.45512187,0.24048336,10.974016434272814,11.561418544556119
royal_esplanade_4k.exr,2.2595203,1.0125724,24.877280883315517,3.5352713298911627
ruckenkreuz_4k.exr,0.7907091,0.18331546,4.328515723203171,6.649642197850615
rural_graffiti_tower_4k.exr,0.59741634,0.10620626,2.2246006122770736,6.365026996906681
rural_landscape_4k.exr,0.30278596,0.1584403,4.626192130845249,9.304257372985013
rural_winter_roadside_4k.exr,0.7049286,0.20546122,5.412775213272291,6.676870672109956
rustig_koppie_4k.exr,0.47957775,0.2679928,13.446825535400489,11.042543032823332
rustig_koppie_puresky_4k.exr,0.47629687,0.2860923,13.911361027190019,11.612684304440862
sabie_tent_4k.exr,0.9673788,0.52107215,17.86541319655346,7.2863618586982
san_giuseppe_bridge_4k.exr,0.5772876,0.23488669,6.345441288407188,10.451070122373673
sandsloot_4k.exr,0.28226018,0.04098788,7.93431936697947,11.624640271463495
satara_night_4k.exr,0.12926859,0.07330342,25.510943506181764,13.941849405837708
satara_night_no_lamps_4k.exr,0.42444474,0.015248786,12.10889445530617,6.146949489680295
schadowplatz_4k.exr,3.3589895,0.6907675,1.515919806010652,2.7560258828279496
sculpture_exhibition_4k.exr,1.0049067,0.376296,4.23600252092095,4.759886657895711
scythian_tombs_4k.exr,0.77464956,0.20592421,0.8314166378519785,7.741024698478114
